"submission_date","state","tot_cases","new_case","pnew_case","tot_death","new_death","pnew_death","created_at","consent_cases","consent_deaths","conf_cases","prob_cases","conf_death","prob_death"
"2021-05-31T00:00:00.000","IL","1382186","521.0","0","25223","38.0","5","2021-06-01T15:18:33.855","Agree","Agree","1382186.0","0","22827.0","2396"
"2021-06-17T00:00:00.000","MT","113092","71.0","12","1651","2.0","0","2021-06-17T00:00:00.000","Agree","Agree","100928.0","12164","1651.0","0"
"2021-04-15T00:00:00.000","VT","20274","168.0","6","237","2.0","0","2021-04-17T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2020-03-16T00:00:00.000","WA","810","126.0","0","42","0.0","0","2020-03-16T00:00:00.000","N/A","N/A",NA,NA,NA,NA
"2020-08-03T00:00:00.000","ID","21675","331.0","26","200","3.0","0","2020-08-04T14:09:35.859","Agree","Agree","20372.0","1303","177.0","23"
"2021-07-11T00:00:00.000","MT","114296","28.0","1","1673","0.0","0","2021-07-12T14:22:55.239","Agree","Agree","101944.0","12352","1673.0","0"
"2021-12-20T00:00:00.000","NC","1593088","2763.0","407","19492","27.0","1","2021-12-20T00:00:00.000","Agree","Agree","1342013.0","251075","17159.0","2333"
"2020-06-15T00:00:00.000","DE","10405","74.0","8","545","1.0","0","2020-06-17T00:00:00.000","Agree","Agree","9558.0","847","473.0","72"
"2022-05-17T00:00:00.000","NC","2719370","2933.0","849","25033","8.0","1","2022-05-17T00:00:00.000","Agree","Agree","2266940.0","452430","21817.0","3216"
"2021-09-09T00:00:00.000","CA","4515931","11638.0","4511","66257","201.0","0","2021-09-11T00:00:00.000","Agree","Agree","4322361.0","193570","66257.0","0"
"2020-07-11T00:00:00.000","IN","51079","779.0","0","2740","8.0","0","2020-07-11T00:00:00.000","Not agree","Agree",NA,NA,"2555.0","185"
"2021-10-07T00:00:00.000","AL","801905","1102.0","293","15608","35.0","8","2021-10-07T00:00:00.000","Agree","Agree","601994.0","199911","12134.0","3474"
"2021-06-13T00:00:00.000","CT","348426","38.0","9","8261","0.0","0","2021-06-14T15:07:59.968","Agree","Agree","318875.0","29551","6790.0","1471"
"2020-09-06T00:00:00.000","VT","1511","0.0","0","57","0.0","0","2020-09-08T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2022-01-03T00:00:00.000","NC","1742370","12542.0","1223","19919","51.0","8","2022-01-03T00:00:00.000","Agree","Agree","1466522.0","275848","17523.0","2396"
"2020-04-11T00:00:00.000","GU","133","3.0",NA,"5","1.0",NA,"2020-04-10T16:22:39.452","Not agree","Not agree",NA,NA,NA,NA
"2020-10-11T00:00:00.000","VI","1325","0.0","0","20","0.0","0","2020-10-12T14:07:08.478",NA,NA,NA,NA,NA,NA
"2020-06-24T00:00:00.000","CT","45913","14.0","1","4287","10.0","1","2020-06-25T14:07:27.526","Agree","Agree","43954.0","1959","3423.0","864"
"2020-10-18T00:00:00.000","CA","867317","2862.0","0","16883","93.0","0","2020-10-20T00:00:00.000","Agree","Agree","867317.0","0","16883.0","0"
"2020-06-18T00:00:00.000","VT","1050","6.0","0","55","0.0","0","2020-06-20T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2020-06-06T00:00:00.000","WI","20571","322.0","0","645","12.0","0","2020-06-07T14:23:35.373","Agree","Agree","20571.0","0","645.0","0"
"2021-08-01T00:00:00.000","NH","100875","109.0","40","1387","0.0","0","2021-08-02T14:03:57.634","Not agree","Not agree",NA,NA,NA,NA
"2021-11-18T00:00:00.000","NV","463976","711.0","10","7899","16.0","0","2021-11-19T15:04:49.744","Agree",NA,"451547.0","12429",NA,NA
"2022-04-11T00:00:00.000","WA","1469574","640.0","30","12566","0.0","0","2022-04-11T00:00:00.000","N/A","N/A",NA,NA,NA,NA
"2021-02-03T00:00:00.000","ND","98034","98.0","20","1422","0.0","0","2021-02-04T14:53:58.929","Agree","Not agree","93546.0","4488",NA,NA
"2020-11-04T00:00:00.000","GU","4903","91.0","9","83","3.0","0","2020-11-05T14:39:23.079","Not agree","Not agree",NA,NA,NA,NA
"2020-05-01T00:00:00.000","VI","66","0.0","0","4","0.0","0","2020-05-02T15:47:19.352",NA,NA,NA,NA,NA,NA
"2021-12-30T00:00:00.000","IN","1246854","11935.0","0","19037","48.0","0","2021-12-31T14:32:16.906","Not agree","Agree",NA,NA,"18386.0","651"
"2020-10-21T00:00:00.000","VI","1337","0.0","0","21","0.0","0","2020-10-22T13:34:46.095",NA,NA,NA,NA,NA,NA
"2022-03-08T00:00:00.000","IL","3040861","1055.0","0","37180","29.0","7","2022-03-09T14:28:56.248","Agree","Agree","3040861.0","0","32978.0","4202"
"2021-03-21T00:00:00.000","MS","303873","143.0","78","7152","6.0","1","2021-03-23T00:00:00.000","Agree","Agree","187158.0","116715","4949.0","2203"
"2021-03-26T00:00:00.000","MS","305251","256.0","139","7184","2.0","1","2021-03-28T00:00:00.000","Agree","Agree","187743.0","117508","4969.0","2215"
"2021-10-13T00:00:00.000","CA","4774247","4034.0","0","69862","106.0","0","2021-10-15T00:00:00.000","Agree","Agree","4561319.0","212928","69862.0","0"
"2020-08-21T00:00:00.000","GU","767","0.0","0","6","0.0","0","2020-08-22T14:21:09.869","Not agree","Not agree",NA,NA,NA,NA
"2022-05-20T00:00:00.000","MD","1070205","2184.0","0","14555","4.0","1","2022-05-21T13:16:11.501","N/A","Agree",NA,NA,"14288.0","267"
"2021-06-14T00:00:00.000","VT","22771","1.0","0","249","0.0","0","2021-06-16T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2021-05-04T00:00:00.000","WA","407171","915.0","169","5528","21.0","0","2021-05-04T00:00:00.000","N/A","N/A",NA,NA,NA,NA
"2022-05-13T00:00:00.000","VI","18037","202.0","0","113","0.0","0","2022-05-14T13:28:26.564",NA,NA,NA,NA,NA,NA
"2022-03-17T00:00:00.000","NE","477197","11.0","56","4047","1.0","0","2022-03-18T13:48:08.091","Agree","Agree","335646.0","141551","3306.0","741"
"2021-11-15T00:00:00.000","CT","409929","2179.0","77","8826","17.0","2","2021-11-16T14:59:01.658","Agree","Agree","371921.0","38008","7234.0","1592"
"2021-10-09T00:00:00.000","NE","272721","346.0","94","2855","0.0","0","2021-10-11T13:19:41.679","Agree","Agree","209833.0","62888","2423.0","432"
"2020-03-19T00:00:00.000","ID","23","13.0",NA,"0","0.0",NA,"2020-03-26T16:22:39.452","Agree","Agree",NA,NA,NA,NA
"2022-06-09T00:00:00.000","MS","814154","804.0","466","12479","0.0","0","2022-06-10T13:14:48.749","Agree","Agree","446350.0","367804","8219.0","4260"
"2020-11-13T00:00:00.000","NV","116737","1857.0","0","1893","13.0","0","2020-11-14T14:44:40.037","Agree",NA,"116737.0","0",NA,NA
"2020-12-28T00:00:00.000","MI","580693","3938.0","396","13563","100.0","2","2020-12-29T00:00:00.000","Agree","Agree","533555.0","47138","12811.0","752"
"2022-01-18T00:00:00.000","AL","1091458","17093.0","5972","17261","41.0","12","2022-01-18T00:00:00.000","Agree","Agree","795601.0","295857","13370.0","3891"
"2020-11-18T00:00:00.000","AL","223636","2360.0","592","5008","20.0","4","2020-11-18T00:00:00.000","Agree","Agree","189075.0","34561","4263.0","745"
"2020-07-05T00:00:00.000","WI","34740","533.0","11","803","0.0","0","2020-07-06T15:16:12.497","Agree","Agree","31577.0","3163","796.0","7"
"2021-07-28T00:00:00.000","CA","3983721","6849.0","0","63849","38.0","0","2021-07-30T00:00:00.000","Agree","Agree","3822551.0","161170","63849.0","0"
"2021-05-15T00:00:00.000","CT","345197","220.0","25","8173","0.0","0","2021-05-16T13:46:12.437","Agree","Agree","316249.0","28948","6733.0","1440"
"2021-07-05T00:00:00.000","MI","1003939","227.0","39","21070","3.0","0","2021-07-06T00:00:00.000","Agree","Agree","898209.0","105730","19812.0","1258"
"2020-06-09T00:00:00.000","VT","999","8.0","0","54","0.0","0","2020-06-11T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2020-07-21T00:00:00.000","MD","79545","860.0","0","3515","7.0","0","2020-07-23T00:00:00.000","N/A","Agree",NA,NA,"3376.0","139"
"2022-03-22T00:00:00.000","MO","1407795","582.0","289","19864","123.0","44","2022-03-23T15:04:18.824","Not agree","Not agree",NA,NA,NA,NA
"2021-04-27T00:00:00.000","MI","947182","3956.0","526","18954","65.0","0","2021-04-28T00:00:00.000","Agree","Agree","849847.0","97335","17801.0","1153"
"2020-10-22T00:00:00.000","IL","363746","4942.0","0","9647","42.0","0","2020-10-23T13:44:31.471","Agree","Agree","360159.0","3587","9387.0","260"
"2022-02-22T00:00:00.000","ND","237128","173.0","79","2174","0.0","0","2022-02-23T15:07:10.507","Agree","Not agree","178240.0","58888",NA,NA
"2022-05-15T00:00:00.000","ND","242462","0.0","0","2274","0.0","0","2022-05-16T14:11:38.948","Agree","Not agree","181650.0","60812",NA,NA
